case,event,metric,threshold,step,Delta,value
old_current_split_full_seed2,first_alpha_mean_gt_0p05,alpha_mean,0.05,6,3e-05,0.05594097530856812
old_current_split_full_seed2,first_alpha_mean_gt_0p1,alpha_mean,0.1,7,3.5e-05,0.10600620659794215
old_current_split_full_seed2,first_alpha_mean_gt_0p2,alpha_mean,0.2,,,
old_current_split_full_seed2,first_alpha_mean_gt_0p4,alpha_mean,0.4,,,
old_current_split_full_seed2,first_bulk_He_ratio_gt_0p25,bulk_He_current_p95_over_notch_tip_He_current_max,0.25,1,5e-06,0.9990037154876901
old_current_split_full_seed2,first_bulk_He_ratio_gt_0p5,bulk_He_current_p95_over_notch_tip_He_current_max,0.5,1,5e-06,0.9990037154876901
old_current_split_full_seed2,first_bulk_drive_ratio_gt_0p25,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max,0.25,1,5e-06,0.9990037154876901
old_current_split_full_seed2,first_bulk_drive_ratio_gt_0p5,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max,0.5,1,5e-06,0.9990037154876901
old_current_split_full_seed2,first_bottom_He_ratio_gt_0p5,bottom_right_He_current_max_over_notch_tip_He_current_max,0.5,1,5e-06,1.0472766611377948
old_current_split_full_seed2,first_bottom_drive_ratio_gt_0p5,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max,0.5,1,5e-06,1.0472766611377948
