case_id,method,top_u_mode,loss_form,epochs,notch_lip_pairs,notch_lip_u_jump_abs_max,notch_lip_v_jump_abs_max,notch_lip_u_jump_std,notch_lip_v_jump_std,notch_tip_He_current_max,bulk_to_notch_He_current,bottom_to_notch_He_current,classification
pinn_fixed_log10_energy_e0,PINN,fixed,log10_energy,0,27,2.278356323048847e-12,1.0002850103774108e-08,6.377084469302261e-13,7.421216663401466e-13,7.127430308173643e-07,0.9998211936987447,0.9994485875259237,broad/background
pinn_fixed_log10_energy_e100,PINN,fixed,log10_energy,100,27,6.891340831316484e-10,1.0534449756960385e-08,3.6631733183292996e-10,7.663895442313707e-11,6.749099838998518e-07,1.004918916997708,1.720384545219791,boundary/background dominated
pinn_fixed_log10_energy_e300,PINN,fixed,log10_energy,300,27,4.2169645553258306e-10,1.0556789220572682e-08,2.3232582775529566e-10,7.856087690590077e-11,6.75391788718116e-07,1.0150387767053275,1.6889711485422272,boundary/background dominated
fedof_fixed_log10_energy_e300,FE_DOF,fixed,log10_energy,300,27,0.001874734298326075,0.00041150907054543495,0.0005065350399073631,0.00019440816759661736,31.276840209960938,0.26013536835306006,0.03377878814045944,notch-amplified with boundary max
pinn_fixed_raw_energy_e0,PINN,fixed,raw_energy,0,27,2.278356323048847e-12,1.0002850103774108e-08,6.377084469302261e-13,7.421216663401466e-13,7.127430308173643e-07,0.9998211936987447,0.9994485875259237,broad/background
pinn_fixed_raw_energy_e100,PINN,fixed,raw_energy,100,27,5.631335397993098e-10,1.055309439834673e-08,2.7908410876157056e-10,1.3093446355702873e-10,6.971961283852579e-07,0.982325854506782,1.6975870927218168,boundary/background dominated
pinn_fixed_raw_energy_e300,PINN,fixed,raw_energy,300,27,5.118678814142186e-10,1.1155862011946738e-08,1.8957861887223285e-10,3.4745609902559246e-10,7.03699583937123e-07,0.9808470603364532,1.6776915661506087,boundary/background dominated
fedof_fixed_raw_energy_e300,FE_DOF,fixed,raw_energy,300,27,0.001874734298326075,0.00041150907054543495,0.0005065350399073631,0.00019440816759661736,31.276840209960938,0.26013536835306006,0.03377878814045944,notch-amplified with boundary max
pinn_free_log10_energy_e0,PINN,free,log10_energy,0,27,7.600982343536344e-12,1.0002850103774108e-08,1.882219923282659e-12,7.421216663401466e-13,7.131487791411928e-07,0.9996213089177087,0.9988860057743416,broad/background
pinn_free_log10_energy_e100,PINN,free,log10_energy,100,27,1.31025501559634e-09,1.0320775345462607e-08,4.177275349244891e-10,8.636975214126187e-11,6.720136980220559e-07,0.9820389454069001,1.8946968370496498,boundary/background dominated
pinn_free_log10_energy_e300,PINN,free,log10_energy,300,27,2.6509354711379274e-09,1.3261967524158536e-08,1.0184495259116637e-09,4.395809811839184e-10,8.579536370234564e-07,0.7872174901678097,1.41867983632451,broad/background
fedof_free_log10_energy_e300,FE_DOF,free,log10_energy,300,27,0.0018539580050855875,0.000429907173383981,0.0004950746634990216,0.00018534766812087016,34.6502799987793,0.23440211516373397,0.028618440934266305,notch-amplified with boundary max
pinn_free_raw_energy_e0,PINN,free,raw_energy,0,27,7.600982343536344e-12,1.0002850103774108e-08,1.882219923282659e-12,7.421216663401466e-13,7.131487791411928e-07,0.9996213089177087,0.9988860057743416,broad/background
pinn_free_raw_energy_e100,PINN,free,raw_energy,100,27,2.2036630298316595e-09,1.0113012649526354e-08,6.107834249631912e-10,4.516165050552133e-11,6.442292033170816e-07,1.0164939912118165,1.7715601672931336,boundary/background dominated
pinn_free_raw_energy_e300,PINN,free,raw_energy,300,27,2.357907646910462e-09,1.0283258689014474e-08,7.223230545673242e-10,8.028402635777718e-11,6.653276614088099e-07,0.9968099634262452,1.8668123419847704,boundary/background dominated
fedof_free_raw_energy_e300,FE_DOF,free,raw_energy,300,27,0.0018539580050855875,0.000429907173383981,0.0004950746634990216,0.00018534766812087016,34.6502799987793,0.23440211516373397,0.028618440934266305,notch-amplified with boundary max
