step,Delta_mm,strain,reaction_old_N,reaction_tm_eff_N,stress_old_N_per_mm2,stress_tm_eff_N_per_mm2
0,1e-06,9.999999999999999e-05,0.0407757388529717,0.037442302399881555,4077.5738852971695,3744.230239988155
1,5e-06,0.0005,0.22689548001153526,0.1916362717793163,22689.548001153522,19163.62717793163
2,1e-05,0.001,0.4596414032675966,0.37472430562957015,45964.140326759654,37472.430562957015
3,1.5e-05,0.0015,0.6609409805378164,0.5270640459542619,66094.09805378164,52706.40459542619
4,2e-05,0.002,0.8302947145608641,0.6375848113293614,83029.47145608641,63758.48113293613
5,2.5e-05,0.0025,0.9400619330222071,0.6888980838004599,94006.1933022207,68889.80838004599
6,3e-05,0.003,1.0076889251422472,0.6947876531739894,100768.8925142247,69478.76531739894
7,3.5e-05,0.0034999999999999996,1.0816861483817775,0.6859508766865474,108168.61483817773,68595.08766865474
8,4e-05,0.004,1.1598658555840302,0.685814093259296,115986.585558403,68581.40932592959
9,4.5e-05,0.0045000000000000005,1.2895907377128424,0.7361579944813457,128959.07377128422,73615.79944813457
10,4.7e-05,0.004699999999999999,1.3347627474047385,0.7570225573942935,133476.27474047383,75702.25573942934
11,4.9e-05,0.0049,1.3453166535555283,0.7596229833666257,134531.66535555283,75962.29833666257
12,5.1e-05,0.0050999999999999995,1.3829132001532685,0.7773960776233935,138291.32001532684,77739.60776233934
13,5.3e-05,0.0053,1.3847881538708862,0.7797359765717715,138478.8153870886,77973.59765717715
14,5.5e-05,0.0055,1.3870746363409125,0.7813714883013745,138707.46363409125,78137.14883013745
15,5.7e-05,0.0057,1.365911893685734,0.7718715195039749,136591.1893685734,77187.15195039749
16,5.9e-05,0.0059,1.3725217425673009,0.7737341322950897,137252.17425673007,77373.41322950897
17,6.1e-05,0.0060999999999999995,1.3715941906866647,0.7732973406291421,137159.41906866647,77329.73406291421
18,6.3e-05,0.0063,1.378794532286065,0.7755150562616109,137879.4532286065,77551.50562616109
19,6.5e-05,0.0065,1.2968425958206353,0.7351456918343047,129684.25958206352,73514.56918343046
20,6.7e-05,0.0067,1.3310060662092837,0.7498032564114965,133100.60662092836,74980.32564114964
21,6.9e-05,0.0069,1.35670384486275,0.7628717452234923,135670.384486275,76287.17452234923
22,7.1e-05,0.0071,1.347509456309126,0.762088612759726,134750.9456309126,76208.8612759726
23,7.3e-05,0.0073,1.3544596134806852,0.760850648248379,135445.96134806852,76085.0648248379
24,7.5e-05,0.007499999999999999,1.4225109717926898,0.7994232571491011,142251.09717926898,79942.32571491011
25,7.7e-05,0.0077,1.5272029921788999,0.8470172433590051,152720.29921789,84701.72433590051
26,8e-05,0.008,1.5385310375677363,0.8536250171573556,153853.10375677363,85362.50171573556
27,8.3e-05,0.0083,1.5867613433329097,0.8789771612782715,158676.13433329097,87897.71612782715
28,8.6e-05,0.0086,1.6775183796653437,0.9197302485972614,167751.83796653437,91973.02485972612
29,8.9e-05,0.0089,1.6271273314032442,0.8955890972401903,162712.73314032442,89558.90972401902
30,9.2e-05,0.0092,1.641404389829404,0.9020765594414115,164140.4389829404,90207.65594414114
31,9.5e-05,0.0095,1.6850214462920121,0.9244392856544437,168502.1446292012,92443.92856544435
32,9.8e-05,0.0098,1.6931725440372247,0.9226251418112952,169317.25440372247,92262.5141811295
33,0.0001,0.01,1.763569575814472,0.958831318484954,176356.9575814472,95883.13184849538
34,0.000102,0.010199999999999999,1.6491445308020047,0.8972962318694044,164914.45308020047,89729.62318694043
35,0.000104,0.0104,1.619712319552491,0.889259048221902,161971.2319552491,88925.9048221902
36,0.000106,0.0106,1.6716050788545544,0.9156781925412361,167160.50788545544,91567.81925412359
37,0.000108,0.010799999999999999,1.651462618383448,0.9006640004827204,165146.2618383448,90066.40004827203
38,0.00011,0.011,1.6784457870926417,0.91312673235322,167844.57870926417,91312.67323532198
39,0.000112,0.0112,1.6540219628495834,0.8993497588107857,165402.19628495834,89934.97588107856
40,0.000115,0.0115,1.7539055038469087,0.9528202049295942,175390.55038469087,95282.0204929594
41,0.000118,0.0118,1.7278617262945772,0.9409577835981509,172786.17262945772,94095.77835981507
42,0.00012,0.012,1.748053100072866,0.9415889072386108,174805.3100072866,94158.89072386107
43,0.000125,0.0125,1.6980428440547257,0.9105637824404766,169804.28440547257,91056.37824404765
44,0.00013,0.013,1.5867675026584038,0.8442729086510781,158676.75026584038,84427.2908651078
45,0.000135,0.0135,1.6383612471599918,0.8812978548462524,163836.12471599918,88129.78548462524
46,0.00014,0.013999999999999999,1.779722655101068,0.9547308918627095,177972.26551010678,95473.08918627094
47,0.000145,0.014499999999999999,1.8300969184110727,0.9802475873357253,183009.69184110724,98024.75873357251
48,0.00015,0.014999999999999998,1.7671313548817125,0.9470910281379474,176713.13548817125,94709.10281379473
49,0.000155,0.0155,1.7020715324633784,0.9199237169923435,170207.15324633784,91992.37169923434
50,0.00016,0.016,1.746281506257219,0.9352309900805267,174628.1506257219,93523.09900805265
51,0.00017,0.017,1.8971130236877798,1.0131171945886308,189711.30236877795,101311.71945886307
52,0.00018,0.018000000000000002,1.779917888370619,0.9566407952661393,177991.78883706187,95664.07952661392
53,0.00019,0.019,1.7563477126714133,0.9422159940868369,175634.77126714133,94221.59940868367
54,0.0002,0.02,1.755830023512317,0.9429994579477352,175583.0023512317,94299.9457947735
