topic,COMSOL_comp3_reference,current_PINN_route,same_physical_core,implementation_difference,acceptable_difference,risk_level,evidence_file_or_function,audit_comment
material parameters,"E0=81.5 GPa, nu=0.38, Gf0=0.0024 MPa*mm, kappa=1e-5","config.py uses E=81.5 kN/mm^2, nu=0.38, Gc=2.4e-6 kN/mm; eta_residual default 1e-5",true,Unit expression differs but kN/mm units are equivalent to GPa/MPa*mm baseline.,true,low,"config.py: COMSOL_E_KN_PER_MM2, COMSOL_NU, Gc, tm_eps_r",Material and residual stiffness constants should remain unchanged before thermal work.
geometry scale and thickness/reference area,"Single-notch micro specimen, 2D plane-stress branch with unit out-of-plane thickness convention",0..0.01 mm by 0..0.01 mm domain; postprocess reference length 0.01 mm and gross reference area 0.01 mm^2,true,"PINN stress is a gross-area nominal reaction measure, not local notch-tip stress.",true,low,config.py SPECIMEN_SIZE_MM; postprocess_results.py REFERENCE_AREA_MM2,Stress-audit package confirmed reaction/area recomputation consistency.
2D assumption,COMSOL comp3 uses 2D Plane Stress,2D displacement fields with eps_zz reconstructed in TM split; material_properties.py uses 3D Lame form,partial,Current code is not a line-by-line plane-stress constitutive copy; eps_zz is set in mixed_mode_tm.,conditionally_true,medium,mixed_mode_tm._tm_source_split; source/material_properties.py,Do not change now; document and run thermal-strain patch tests before relying on plane-stress equivalence.
elastic strain definition,Small-strain solid mechanics with elastic strain corrected for thermal strain in thermal branch,"Small strains from autograd gradients of u,v; no thermal correction in no-thermal baseline",true_for_no_thermal,PINN evaluates strain from neural ansatz and mesh-element gradients rather than FEM shape functions.,true,low,compute_energy_mixed_tm.compute_mixed_tm_fields; compute_energy.gradients,Thermal correction should enter before TM split when a prescribed-temperature branch is added.
thermal strain status,"exx_e=exx-alpha_T*(T-Tref), eyy_e=eyy-alpha_T*(T-Tref), exy_e=exy",No temperature field and no thermal strain in current route,not_applicable_no_thermal,Thermal physics intentionally omitted from this baseline.,true,medium,README.md no temperature field statement,"Future implementation must use T-Tref, not raw T."
tensile/opening drive,Opening-like positive split contribution psi_I,tm_source split computes psiI from positive principal-like strain trace part,true,"Symbolic decomposition is TM source split, not required to match COMSOL expressions exactly.",true,low,mixed_mode_tm._tm_source_split psiI,Physical meaning is opening/tensile drive separation.
deviatoric/shear drive,Shear/deviatoric contribution psi_II with Gf0/GcII weighting,tm_source split computes psiII=mu*ep2 and He_current=psiI+ratio*psiII,true,PINN uses configured Gc/GcII ratio from current material route.,true,low,mixed_mode_tm._tm_source_split; compute_energy_mixed_tm.compute_mixed_tm_fields,Recent shear diagnostics show HII active and notch-localized.
mixed history,"HI=max(HI,psi_I), HII=max(HII,psi_II), He=HI+(Gf0/GcII)*HII","HI_trial=max(HI_old,psiI), HII_trial=max(HII_old,psiII), He_trial=HI_trial+ratio*HII_trial",true,PINN commits history across load steps outside a COMSOL state feature.,true,low,compute_energy_mixed_tm; history_field_mixed_tm.commit_mixed_history_from_fields,Irreversibility concept is preserved; do not alter history logic.
phase-field model class,"AT2-like PDE with c=Gf0*l0, a=Gf0/l0+2*He, f=2*He","PFF_model=AT2; fracture density uses w1/c_w*(alpha^2+l0^2|grad alpha|^2), w1=Gc/l0, c_w=2",true,PINN minimizes energy/loss instead of assembling COMSOL PDE coefficients directly.,true,low,config.py PFF_model_dict; pff_model.damageFun; compute_energy_mixed_tm,Same AT2 model class; exact solver form need not match.
degradation function,g(d)=(1-d)^2+kappa degrades positive/crack-driving stress part,g_alpha=(1-alpha)^2+eta_residual multiplies history/current crack-driving energy; stress postprocess has tm effective stress,true,COMSOL may use external stress trick; PINN primarily degrades energy.,true,low,compute_energy_mixed_tm.g_alpha; mixed_mode_tm.tm_source_effective_stress_fields,Energy degradation is acceptable if reaction remains energy-conjugate.
residual stiffness/kappa,kappa=1e-5 residual stiffness,eta_residual/tm_eps_r baseline 1e-5; g_alpha includes eta_residual,true,"Name differs: eta_residual in energy, tm_eps_r in TM split regularization.",true,low,config.py training_dict; compute_energy_mixed_tm.g_alpha,Keep the current values unless a separate bug-fix task proves otherwise.
crack length scale/l0,l0=0.15 um = 1.5e-4 mm,Default --l0 is 1.5e-4 mm; model settings record l0_mm,true,None relevant; unit conversion must stay explicit.,true,low,config.py parser --l0; mat_prop_dict,Changing l0 would invalidate this baseline audit.
irreversibility/history update,State variables preserve max history,history_field_mixed_tm commits max history after load step and saves He_history diagnostics,true,PINN history is explicit Python step state rather than COMSOL state3.,true,low,history_field_mixed_tm.commit_mixed_tm_history_from_model,Do not replace with current-energy-only drive before thermal reintroduction.
reaction definition,Reaction can be extracted by solver/postprocess boundary quantities,Primary reaction_N_energy=1000*dPi/dDelta or dPi/dDelta_s from saved checkpoints,true,Energy derivative route differs from FEM boundary reaction extraction.,true,low,postprocess_results.compute_exact_reaction_rows,Do not reintroduce legacy top-sigma as primary reaction.
stress normalization,Stress interpretation depends on selected cross-section and units,Nominal stress equals reaction_N_energy/reference_area_mm2; shear uses nominal_shear_stress_energy_MPa,true,"This is gross-area nominal stress, not local material shear strength.",true,low,postprocess_results.build_stress_strain_curve; 20260619 stress audit,Stress audit classified magnitude as internally consistent.
heat equation status,ht3 active heat-transfer physics in comp3,No heat equation in no-thermal PINN route,not_applicable_no_thermal,Thermal transport omitted intentionally.,true_for_baseline,medium,README.md no heat equation statement,Do not jump directly to full heat PDE without thermal-strain patch tests.
damage-dependent conductivity status,k_d=g(d)*k0 in heat transfer,No conductivity model in current no-thermal route,not_applicable_no_thermal,Damage-dependent conductivity is deferred.,true_for_baseline,medium,README.md no thermal transport coupling statement,Future heat branch needs separate conservation and units checks.
boundary condition treatment,FEM boundary constraints/selections,"Dirichlet constraints encoded in displacement ansatz; bottom fixed, top prescribed, left/right free",true,Ansatz replaces explicit FEM constraint nodes.,true,low,field_computation.FieldComputation.fieldCalculation,Do not modify tension/shear boundary treatment in this audit.
displacement ansatz,Direct FEM displacement degrees of freedom,"Top-u/free tension default; shear ansatz u=Delta_s*(eta+bubble*raw_u), v=Delta_s*(eta+bubble)*raw_v",true,PINN ansatz enforces selected essential boundary conditions analytically.,true,low,field_computation.py lines for shear and tension branches,Prompt explicitly forbids shear ansatz changes.
postprocess route,COMSOL results/postprocess tables can be solver-derived,postprocess_results.py reconstructs checkpoint energy and writes reaction/stress tables,true,Checkpoint reconstruction differs from COMSOL result evaluation.,true,low,POSTPROCESS_WORKFLOW.md; postprocess_results.py,This is the trusted current route.
generated-artifact hygiene,Not a physics invariant,Project docs require generated outputs under outputs/ and audit packages under runs/,not_applicable,"Repository hygiene rule, not model physics.",true,low,PROJECT_STRUCTURE.md,This audit package is confined to runs/ and does not alter source.
