diagnostic_package,case_or_comparison,metric,no_thermal_or_case_A,zero_deltaT_or_case_B,deltaT20_or_case_C,interpretation,caveat
examples/TM_comsol_thermal_micro/runs/20260623_stronger_prescribed_temperature_tension_diagnostic,A/B equivalence,max absolute reaction/stress/energy/alpha/HI/HII differences,Case A,Case B matched A within table precision,not applicable,Zero thermal branch reproduces no-thermal branch under non-smoke training.,Single seed and tension setup.
examples/TM_comsol_thermal_micro/runs/20260623_stronger_prescribed_temperature_tension_diagnostic,A versus C,final nominal stress MPa,124.041421805,124.041421805,94.4112776779,+20 K shifts final stress downward by -29.6301441267 MPa.,"Diagnostic, not physical validation."
examples/TM_comsol_thermal_micro/runs/20260623_stronger_prescribed_temperature_tension_diagnostic,A versus C,final alpha max,0.158222526312,0.158222526312,0.0365089587867,Case C has lower final peak alpha under prescribed +20 K.,The broad low-level Case C field required the follow-up audit.
examples/TM_comsol_thermal_micro/runs/20260623_stronger_prescribed_temperature_tension_diagnostic,Case C compensation region,reaction zero crossing displacement mm,not applicable,not applicable,3.45037430392e-06,Observed crossing is near thermal expansion estimate 3.78e-06 mm.,Interpolated from checkpointed diagnostic steps.
examples/TM_comsol_thermal_micro/runs/20260624_caseC_alpha_anomaly_audit,Case C alpha anomaly audit,C-minus-A final alpha distribution,min -0.122059274465,B equals A in audited run,median C-A -0.00623816251755; positive max 0.0107422318542,"Peak damage is lower in Case C, but some low-level background locations exceed A/B.",Diagnostic warning only.
examples/TM_comsol_thermal_micro/runs/20260624_caseC_alpha_anomaly_audit,Case C threshold area,final alpha area fractions,see audit table,same as A in audited run,>=0.001 0.587322121604; >=0.01 0.433746072815; >=0.03 0.0138606542229; >=0.05 0,Low threshold area is broad; higher thresholds collapse.,Do not use low-threshold area as fracture evidence.
examples/TM_comsol_thermal_micro/runs/20260625_prescribed_temperature_tension_damage_probe,A/B equivalence,max absolute reaction/stress/energy/alpha/HI/HII differences,Case A,Case B matched A within table precision,not applicable,Zero thermal branch still reproduces no-thermal branch under D0020 schedule.,Same deterministic seed.
examples/TM_comsol_thermal_micro/runs/20260625_prescribed_temperature_tension_damage_probe,C versus A,final nominal stress MPa,158.589181956,158.589181956,133.436103351,Case C remains shifted downward by -25.1530786045 MPa.,Prescribed-temperature tension only.
examples/TM_comsol_thermal_micro/runs/20260625_prescribed_temperature_tension_damage_probe,C versus A,final alpha max,0.344652026892,0.344652026892,0.0781823396683,Case C final alpha is lower by -0.266469687223.,"Use notch/high-threshold metrics, not low-background thresholds."
examples/TM_comsol_thermal_micro/runs/20260625_prescribed_temperature_tension_damage_probe,Case C final high-threshold alpha,fraction above thresholds,see probe table for A/B,same as A,>=0.02 0.488449454814 (2643 notch-connected); >=0.05 0.0293845869525 (159); >=0.1 0,High-threshold alpha remains lower and notch-focused relative to A.,Low-level diffuse background remains diagnostic only.
examples/TM_comsol_thermal_micro/runs/20260625_prescribed_temperature_tension_damage_probe,damage delay,first displacement where alpha_max reaches thresholds,>=0.02 at 7.5e-06 mm; >=0.05 at 1e-05 mm,same as A,>=0.02 at 1.25e-05 mm; >=0.05 at 1.75e-05 mm,Prescribed +20 K delays reaching selected alpha thresholds.,Threshold selection is diagnostic.
